Data Provided By MyFoodData.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Click ""File"" then ""Download as"" or ""Select All and Copy Paste"" to get the data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If you have a google account click ""File"" then ""Make a Copy"" to edit your own copy of the data. ",,,,"All Serving Sizes are 100 Grams. See the ""Read Me"" tab for more information. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Name,Food Group,Calories,Fat (g),Protein (g),Carbohydrate (g),Sugars (g),Fiber (g),Cholesterol (mg),Saturated Fats (g),Calcium (mg),"Iron, Fe (mg)","Potassium, K (mg)",Magnesium (mg),"Vitamin A, IU (IU)","Vitamin A, RAE (mcg)",Vitamin C (mg),Vitamin B-12 (mcg),Vitamin D (mcg),Vitamin E (Alpha-Tocopherol) (mg),Added Sugar (g),Net-Carbs (g),Water (g),Omega 3s (mg),Omega 6s (mg),PRAL score,Trans Fatty Acids (g),Soluble Fiber (g),Insoluble Fiber (g),Sucrose (g),Glucose (Dextrose) (g),Fructose (g),Lactose (g),Maltose (g),Galactose (g),Starch (g),Total sugar alcohols (g),"Phosphorus, P (mg)",Sodium (mg),"Zinc, Zn (mg)","Copper, Cu (mg)",Manganese (mg),"Selenium, Se (mcg)","Fluoride, F (mcg)",Molybdenum (mcg),Chlorine (mg),Thiamin (B1) (mg),Riboflavin (B2) (mg),Niacin (B3) (mg),Pantothenic acid (B5) (mg),Vitamin B6 (mg),Biotin (B7) (mcg),Folate (B9) (mcg),Folic acid (mcg),Food Folate (mcg),Folate DFE (mcg),Choline (mg),Betaine (mg),Retinol (mcg),"Carotene, beta (mcg)","Carotene, alpha (mcg)",Lycopene (mcg),Lutein + Zeaxanthin (mcg),Vitamin D2 (ergocalciferol) (mcg),Vitamin D3 (cholecalciferol) (mcg),Vitamin D (IU) (IU),Vitamin K (mcg),Dihydrophylloquinone (mcg),Menaquinone-4 (mcg),"Fatty acids, total monounsaturated (mg)","Fatty acids, total polyunsaturated (mg)","18:3 n-3 c,c,c (ALA) (mg)",20:5 n-3 (EPA) (mg),22:5 n-3 (DPA) (mg),22:6 n-3 (DHA) (mg),Tryptophan (mg),Threonine (mg),Isoleucine (mg),Leucine (mg),Lysine (mg),Methionine (mg),Cystine (mg),Phenylalanine (mg),Tyrosine (mg),Valine (mg),Arginine (mg),Histidine (mg),Alanine (mg),Aspartic acid (mg),Glutamic acid (mg),Glycine (mg),Proline (mg),Serine (mg),Hydroxyproline (mg),Alcohol (g),Caffeine (mg),Theobromine (mg),Serving Weight 1 (g),Serving Description 1 (g),Serving Weight 2 (g),Serving Description 2 (g),Serving Weight 3 (g),Serving Description 3 (g),Serving Weight 4 (g),Serving Description 4 (g),Serving Weight 5 (g),Serving Description 5 (g),Serving Weight 6 (g),Serving Description 6 (g),Serving Weight 7 (g),Serving Description 7 (g),Serving Weight 8 (g),Serving Description 8 (g),Serving Weight 9 (g),Serving Description 9 (g),200 Calorie Weight (g)
167522,Dutch Apple Pie,Baked Foods,290,11.5,2.17,44.54,22.02,1.6,0,2.313,14,0.91,76,8,82,18,5.7,0,NULL,0.96,NULL,42.94,41.09,117,2000,0.14,NULL,NULL,NULL,11.03,4.89,4.57,0,1.53,NULL,15.4,NULL,29,200,0.19,0.148,0.233,2.2,NULL,NULL,NULL,0.193,0.067,1.094,0.096,0.039,NULL,21,15,6,32,17,8.4,17,10,0,1,42,NULL,NULL,NULL,16.4,NULL,0.9,5797,2117,NULL,0,0,0,27,63,81,158,43,51,57,104,52,101,84,54,74,122,743,84,251,104,NULL,0,0,0,131,1/8 pie 1 pie (1/8 of 9 inch pie),137,1 slice,1137,1 pie,28.4,1 oz,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,68.966
167523,Pie Crust Deep Dish Frozen Unbaked Made With Enriched Flour,Baked Foods,468,28.74,5.52,46.79,NULL,1.4,NULL,8.129,20,2.26,91,15,NULL,NULL,NULL,0,NULL,1.24,NULL,45.39,17.78,115,3405,2.646,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,41.7,NULL,68,353,0.46,0.079,0.476,4.5,NULL,NULL,NULL,0.227,0.143,2.5,0.36,0.047,NULL,77,48,29,111,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,51.7,1.2,14489,3530,115,NULL,NULL,NULL,53,112,197,383,144,83,111,246,103,246,196,96,170,263,1839,206,710,272,0,NULL,NULL,NULL,225,1 pie crust (average weight),NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,42.735
167524,Waffles Chocolate Chip Frozen Ready-To-Heat,Baked Foods,297,10.1,5.8,45.68,13.1,1.5,21,3.567,357,6.4,74,16,1429,429,0,1.7,0.1,0,NULL,44.18,35.62,2,2916,6.283,0.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,272,529,0.4,0.221,0.393,13.1,NULL,NULL,NULL,0.43,0.49,5.7,0.218,0.57,NULL,75,59,16,117,15.9,NULL,429,0,0,0,22,NULL,NULL,2,9.3,NULL,NULL,2564,3272,NULL,0,0,2,61,150,179,331,158,85,94,240,156,224,220,103,180,285,1336,178,450,248,NULL,0,10,89,70,2 waffles,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,67.34
167525,Tostada Shells Corn,Baked Foods,474,23.38,6.15,64.43,NULL,5.8,NULL,7.011,76,1.53,237,76,NULL,NULL,NULL,NULL,NULL,NULL,NULL,58.63,3.32,124,8030,2.537,0.163,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,55.4,NULL,203,657,1.23,0.148,0.363,2.2,NULL,NULL,NULL,0.353,0.094,1.553,0.191,0.363,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7217,8285,124,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12.3,1 piece,37,"3 pieces (mean serving weight, aggregated over brands)",NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,42.194
167526,Bread Salvadoran Sweet Cheese (Quesadilla Salvadorena),Baked Foods,374,17.12,7.12,47.84,24.9,0.7,59,4.612,73,0.98,350,11,584,141,0,0.35,0.3,0.96,NULL,47.14,25.48,507,3890,2.266,2.027,NULL,NULL,24.1,0,0,0.59,0.23,NULL,16,NULL,200,510,0.8,0.03,0.24,13.3,NULL,NULL,NULL,0.02,0.08,1.2,0.7,0.04,NULL,33,21,12,48,36.5,NULL,135,81,0,0,41,NULL,NULL,14,11.2,NULL,NULL,6794,4428,489,0,4,14,70,210,300,650,500,280,60,370,230,430,250,150,360,590,1330,200,830,450,0,0,0,0,55,1 serving (approximate serving size),399,1 cake square (average weight of whole item),NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,53.476
167527,Bread Pound Cake Type Pan De Torta Salvadoran,Baked Foods,390,17.45,7.06,51.29,18.1,1.7,NULL,3.042,46,2.2,210,19,NULL,NULL,NULL,NULL,NULL,1.42,NULL,49.59,22.38,1167,8240,9.031,0.16,NULL,NULL,17.3,0.27,0.25,0,0.28,NULL,25.2,NULL,300,390,0.62,0.03,0.26,13.5,NULL,NULL,NULL,0.07,0.18,4.7,0.55,0.05,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4411,9424,1158,2,0,7,90,160,240,540,150,180,60,350,170,330,180,100,290,390,2170,230,1090,380,0,NULL,NULL,NULL,55,1 serving,622,1 cake square,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,51.282
167528,Pastry Pastelitos De Guava (Guava Pastries),Baked Foods,379,18.5,5.48,47.76,17,2.2,10,5.535,14,2.12,103,15,NULL,NULL,NULL,NULL,NULL,0.95,NULL,45.56,27.26,164,2688,2.007,2.853,NULL,NULL,12.37,2.29,1.41,0,0.93,0,24.65,NULL,56,231,0.42,0.079,0.265,17.5,NULL,NULL,NULL,0.19,0.117,2.493,0.27,0.053,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17,0,348,14,NULL,NULL,NULL,12.5,29.1,0,8543,2835,163,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,86,1 piece,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,52.77
167529,Crackers Snack Goya Crackers,Baked Foods,433,13.35,14.25,64.35,2.35,3.8,NULL,6.323,16,5.66,124,39,NULL,NULL,NULL,NULL,NULL,NULL,NULL,60.55,5.93,40,1498,8.497,0.063,NULL,NULL,0,0,0.47,0,1.88,0,57.8,NULL,145,665,1.17,0.155,0.625,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4697,1536,38,2,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,30,1 serving (1 nlea serving - about 4 crackers),12.7,1 cracker,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,46.189
167530,Crackers Cream Gamesa Sabrosas,Baked Foods,484,20.37,7.01,64.55,9.37,2.4,NULL,5.362,26,7.38,129,25,NULL,NULL,NULL,0.46,NULL,1.59,NULL,62.15,4.45,45,2507,3.344,3.969,NULL,NULL,6.22,0.92,0.95,0,1.27,0,51.87,NULL,98,1148,0.66,0.111,0.778,9.5,NULL,NULL,NULL,0.298,0.24,5.08,0.462,0.065,NULL,149,148,2,253,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17.9,21,NULL,10625,2450,45,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,31,11 crackers (1 nlea serving),3.1,1 cracker,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,41.322
167531,Crackers Cream La Moderna Rikis Cream Crackers,Baked Foods,464,19.5,7.19,64.88,10.41,2.4,NULL,2.634,734,6.64,117,28,NULL,NULL,NULL,0.8,NULL,NULL,NULL,62.48,4.48,20,630,-5.524,2.905,NULL,NULL,7.97,0.95,1.1,0,0.39,0,51.1,NULL,100,752,4.11,0.113,0.845,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14468,1265,20,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,32,10 crackers (1 nlea serving),3.1,1 cracker,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,43.103
167532,Bread White Wheat,Baked Foods,238,2.15,10.66,43.91,5,9.2,0,0.63,684,4.89,127,26,4,0,0,0,0,0.38,NULL,34.71,39.6,86,887,-3.221,0.031,NULL,NULL,0,1.5,2.7,0,0.8,0,27.25,NULL,103,478,0.95,0.149,0.634,16.1,NULL,NULL,NULL,0.51,0.255,4.455,0.455,0.08,NULL,127,49,78,162,8.1,0,0,2,0,0,25,NULL,NULL,0,7.7,NULL,NULL,393,973,83,3,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,28,1 slice,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,84.034
167533,Bagels Wheat,Baked Foods,250,1.53,10.2,48.89,6.12,4.1,0,0,20,2.76,165,51,0,0,0,0,0,0.32,NULL,44.79,37.55,76,859,5.169,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,142,439,1.1,0.175,1.43,28.7,24.1,NULL,NULL,0.403,0.209,3.37,0.375,0.147,NULL,76,46,31,108,9.8,21.6,0,2,0,0,88,NULL,NULL,0,1.5,NULL,NULL,290,936,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,98,1 bagel,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,80
167534,Cream Puff Eclair Custard Or Cream Filled Iced,Baked Foods,334,18.52,4.41,37.43,22.05,0.9,66,7.055,35,0.95,68,10,88,23,0,0.17,0.3,0.95,NULL,36.53,38.64,10,3866,2.635,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,71,265,0.45,0.06,0.224,15.5,NULL,NULL,NULL,0.263,0.241,1.908,0.471,0.041,NULL,66,49,16,100,44.2,11.5,22,1,0,0,86,NULL,NULL,11,6.7,NULL,NULL,6070,4173,NULL,0,1,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,113,4 oz,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,59.88
167535,Tortillas Ready-To-Bake Or -Fry Flour Shelf Stable,Baked Foods,297,7.58,8.01,49.27,2.66,2.4,0,1.225,163,3.32,133,21,0,0,0,0,0,0.86,NULL,46.87,32.43,387,1764,6.328,0.014,NULL,NULL,0.48,0.09,0.03,0,2.06,0,40.2,NULL,213,742,0.57,0.115,0.516,21.9,20,NULL,NULL,0.487,0.124,4.191,0.283,0.028,NULL,118,100,19,188,6.8,45.4,0,0,0,0,12,NULL,NULL,0,4.2,0,0,3801,2152,NULL,0,0,0,82,182,231,459,147,118,142,336,202,268,270,149,215,281,2249,240,774,333,NULL,0,0,0,49,1 tortilla,484,1 package,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,67.34
